"distrito","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"San Luis","2","5","3","9","3","5","3","6","3","8"
"Independencia","2","2","2","7","2","8","2","3","2","3"
"Surco","5","2","5","3","5","1","5","1","5","5"
"Independencia","6","7","6","9","6","8","6","7","6","2"
"San Miguel","2","3","2","2","2","4","2","10","2","1"
"Ate","9","4","9","6","9","8","9","10","9","10"
"Breña","1","3","1","10","1","3","1","7","1","2"
"La Molina","8","5","9","2","8","1","8","9","8","5"
"Ate","5","5","5","8","5","6","5","9","5","9"
"Santa Anita","3","10","3","8","3","4","3","6","3","2"
"Pueblo Libre","1","3","1","4","1","9","1","1","1","6"
"Ate","3","5","3","5","3","3","3","3","3","6"
"San Luis","2","4","3","4","3","10","2","6","2","3"
"Pueblo Libre","9","4","9","10","9","10","9","1","9","2"
"La Molina","4","9","4","1","4","10","4","4","4","9"
"Surco","10","6","10","10","10","10","10","5","10","7"
"Breña","3","6","3","9","3","8","3","4","3","7"
"San Luis","5","8","5","1","5","1","5","8","5","6"
"Miraflores","1","6","1","4","1","7","1","6","1","10"
"San Luis","10","7","10","1","10","10","10","10","10","5"
"San Borja","9","5","9","6","9","7","9","5","9","4"
"Pueblo Libre","4","10","4","3","4","8","4","1","4","8"
"Breña","4","8","4","1","4","4","4","7","4","5"
"Breña","7","9","7","8","7","9","7","10","7","2"
"Ate","5","5","5","5","5","4","5","7","5","4"
"Los Olivos","4","9","4","8","4","9","4","3","4","4"
"Ate","6","7","6","4","6","1","6","1","6","8"
"La Molina","9","7","10","4","10","7","10","8","10","3"
"San Miguel","3","4","3","6","3","8","3","4","3","3"
"San Miguel","6","1","6","6","7","4","6","6","6","8"
"Pueblo Libre","6","9","6","6","7","3","6","7","6","1"
"Ate","8","7","9","6","9","7","9","9","9","10"
"Los Olivos","6","1","6","4","6","2","6","8","6","5"
"La Molina","1","10","1","9","1","2","1","9","1","1"
"San Isidro","3","6","3","3","4","10","4","2","4","9"
"Pueblo Libre","2","1","3","5","2","3","2","10","2","8"
"San Borja","4","10","5","2","5","7","4","6","5","10"
"San Borja","4","9","4","1","4","8","4","8","4","8"
"San Borja","9","10","9","6","9","3","9","2","9","9"
"Miraflores","3","4","3","2","3","6","3","8","3","9"
"La Molina","1","5","1","3","1","5","1","6","1","4"
"San Luis","5","1","5","10","5","2","5","8","5","8"
"Los Olivos","5","2","5","5","5","8","5","5","5","10"
"San Borja","7","7","7","6","7","7","7","2","7","4"
"San Miguel","9","9","9","9","9","4","9","6","9","5"
"Pueblo Libre","5","4","5","2","5","10","5","8","5","6"
"Barranco","7","2","8","9","8","6","8","10","8","5"
"San Isidro","5","4","5","4","5","8","5","1","5","10"
"Los Olivos","10","9","10","8","10","6","10","7","10","10"
"La Molina","9","9","9","3","9","9","9","8","9","6"
"Ate","5","7","6","6","6","5","5","6","6","6"
"San Isidro","4","7","4","7","4","1","4","1","4","4"
"Breña","9","1","10","2","10","10","9","6","9","8"
"San Isidro","4","2","4","9","4","4","4","1","4","3"
"Independencia","10","9","10","8","10","10","10","2","10","10"
"Ate","10","10","10","1","10","6","10","9","10","3"
"San Luis","10","1","10","5","10","5","10","8","10","5"
"San Isidro","8","2","8","9","8","7","8","10","8","3"
"Independencia","4","9","4","8","4","5","4","5","4","8"
"San Borja","6","6","6","3","6","5","6","10","6","1"
"Independencia","5","2","5","2","6","10","5","1","5","8"
"San Luis","3","2","3","4","3","7","3","4","3","10"
"Breña","7","4","7","8","7","6","7","5","7","8"
"Surco","1","6","1","5","1","5","1","3","1","1"
"Pueblo Libre","4","2","5","3","5","8","5","5","5","5"
"Breña","10","3","10","10","10","1","10","10","10","6"
"San Borja","7","1","7","8","8","5","8","7","8","9"
"Independencia","9","1","9","1","9","3","9","2","9","2"
"Breña","1","10","1","2","1","10","1","2","1","9"
"San Isidro","2","6","2","6","2","5","2","10","2","10"
"La Molina","9","8","10","3","10","1","10","1","9","9"
"Barranco","10","1","10","9","10","6","10","6","10","7"
"San Isidro","9","2","9","4","10","10","9","1","9","2"
"La Molina","8","8","8","6","8","8","8","5","8","5"
"San Borja","9","8","9","1","9","7","9","1","9","1"
"Miraflores","3","5","3","10","4","7","3","10","4","4"
"Ate","8","7","8","5","8","8","8","6","8","4"
"Breña","1","5","1","7","1","6","1","9","1","9"
"Miraflores","10","3","10","3","10","8","10","7","10","9"
"La Molina","10","1","10","2","10","7","10","10","10","9"
"San Miguel","3","9","3","1","3","5","3","6","3","7"
"Pueblo Libre","8","6","8","10","8","9","8","2","8","9"
"Los Olivos","1","5","1","8","1","6","1","5","1","2"
"Miraflores","2","10","2","2","2","3","2","6","2","1"
"Pueblo Libre","10","8","10","6","10","7","10","6","10","6"
"Surco","4","7","5","3","5","2","5","1","5","1"
"San Isidro","5","5","5","9","5","9","5","8","5","9"
"San Borja","5","7","5","6","5","9","5","3","5","6"
"Ate","6","2","6","4","6","1","6","7","6","7"
"Miraflores","1","1","1","1","1","9","1","5","1","7"
"Ate","2","1","2","7","2","5","2","4","2","7"
"Breña","10","1","10","3","10","10","10","3","10","7"
"Breña","2","2","2","4","2","2","2","10","2","2"
"Breña","6","4","7","1","7","7","7","7","7","9"
"San Isidro","9","3","9","8","9","7","9","6","9","8"
"San Luis","4","4","4","1","4","7","4","4","4","4"
"Pueblo Libre","6","8","7","3","7","10","7","1","7","1"
"San Isidro","6","3","6","5","6","10","6","5","6","2"
"San Isidro","2","6","2","3","2","1","2","5","2","3"
"San Miguel","7","7","7","8","7","5","7","6","7","7"
"Los Olivos","3","10","3","2","3","3","3","3","3","2"
"Breña","5","5","5","10","5","1","5","6","5","1"
"Ate","2","10","3","6","2","9","2","10","2","6"
"Breña","4","8","4","5","4","6","4","3","4","7"
"Miraflores","1","6","2","4","1","8","1","10","2","7"
"Barranco","6","10","6","6","6","3","6","6","6","3"
"San Borja","5","1","5","7","5","6","5","10","5","1"
"Los Olivos","10","9","10","8","10","1","10","1","10","6"
"San Luis","2","7","3","1","3","6","2","7","2","7"
"San Isidro","4","6","4","10","4","8","4","5","4","7"
"Santa Anita","1","8","1","8","1","9","1","2","1","5"
"San Luis","1","10","1","5","1","10","1","7","1","3"
"Los Olivos","8","7","9","9","9","3","9","7","8","10"
"San Borja","8","1","8","8","8","5","8","9","8","5"
"San Luis","4","2","4","6","4","7","4","6","4","6"
"Breña","8","1","8","6","8","7","8","2","8","7"
"San Luis","2","7","2","1","2","4","2","9","2","4"
"Independencia","8","3","8","8","8","10","8","4","8","6"
"Surco","8","1","8","5","8","2","8","4","8","4"
"San Borja","9","5","9","6","9","6","9","5","9","10"
"Santa Anita","2","1","2","8","2","1","2","10","2","7"
"San Luis","2","2","2","3","2","6","2","7","2","10"
"San Borja","6","9","6","5","6","3","6","1","6","6"
"Los Olivos","1","9","1","10","1","2","1","7","1","6"
"Barranco","10","5","10","5","10","3","10","10","10","9"
"Santa Anita","5","7","5","3","5","1","5","7","5","4"
"Pueblo Libre","8","10","8","2","8","5","8","2","8","6"
"La Molina","8","10","8","1","8","6","8","9","8","1"
"San Luis","2","8","2","8","2","4","2","3","2","10"
"Santa Anita","5","5","5","9","5","5","5","2","5","4"
"Ate","6","6","6","9","6","9","6","3","6","5"
"Pueblo Libre","4","8","4","1","4","2","4","2","4","8"
"Ate","6","2","6","3","6","9","6","10","6","8"
"San Luis","2","10","2","6","2","1","2","5","2","2"
"La Molina","3","6","3","2","3","7","3","2","3","5"
"San Borja","7","1","7","2","7","10","7","2","7","5"
"Surco","9","9","9","5","9","1","9","2","9","9"
"Independencia","7","8","7","2","7","3","7","6","7","10"
"San Borja","2","5","2","3","2","10","2","4","2","8"
"Independencia","5","4","5","5","5","6","5","9","5","1"
"San Borja","8","4","8","5","8","10","8","5","8","2"
"Barranco","9","10","10","7","10","10","10","10","10","2"
"Santa Anita","8","8","8","9","8","10","8","8","8","4"
"Los Olivos","4","6","4","7","4","8","4","3","4","5"
"Miraflores","3","6","3","7","3","3","3","9","4","8"
"Independencia","4","4","4","7","4","2","4","9","4","5"
"San Borja","9","2","9","10","9","2","9","7","9","1"
"Ate","5","2","5","3","5","3","5","10","5","1"
"Ate","7","6","7","1","7","3","7","7","7","4"
"Santa Anita","7","10","7","6","7","2","7","5","7","3"
"San Miguel","5","3","5","5","5","2","5","6","5","7"
"San Borja","7","7","7","4","7","3","7","7","7","2"
"San Borja","10","2","10","2","10","10","10","8","10","6"
"Independencia","1","9","1","4","1","1","1","10","1","2"
"San Miguel","6","5","6","8","7","3","6","6","6","6"
"La Molina","3","5","3","4","4","2","3","8","4","5"
"San Borja","1","6","1","6","1","7","1","8","1","5"
"Surco","3","3","3","7","4","1","4","10","4","8"
"Breña","4","8","4","10","4","5","4","10","4","4"
"La Molina","6","2","6","6","6","8","6","1","6","5"
"San Borja","3","2","3","1","3","6","3","9","3","1"
"La Molina","4","7","4","3","5","7","4","7","5","3"
"Santa Anita","1","1","1","2","1","4","1","2","1","7"
"Breña","2","9","2","1","2","1","2","6","2","2"
"Pueblo Libre","4","7","4","3","4","6","4","5","4","8"
"Miraflores","3","6","3","5","3","7","3","8","3","4"
"Los Olivos","7","5","7","1","7","8","7","7","7","5"
"Independencia","8","7","8","8","8","9","8","10","8","9"
"Santa Anita","1","9","1","3","1","3","1","3","1","3"
"San Miguel","6","2","6","10","6","2","6","3","6","8"
"San Luis","7","1","7","4","7","7","7","9","7","6"
"La Molina","9","7","9","9","9","9","9","9","9","4"
"Barranco","9","5","9","3","9","3","9","4","9","4"
"Santa Anita","9","5","9","10","9","5","9","3","9","6"
"Los Olivos","5","4","5","3","5","2","5","5","5","7"
"La Molina","3","9","3","2","3","10","3","10","3","4"
"Independencia","9","4","9","2","9","1","9","5","9","3"
"Barranco","10","7","10","2","10","10","10","9","10","2"
"Miraflores","6","9","6","9","6","2","6","8","6","2"
"Barranco","5","1","6","2","6","2","6","3","6","2"
"Breña","9","5","9","4","9","9","9","2","9","4"
"Pueblo Libre","4","3","4","4","5","4","4","6","5","10"
"San Borja","2","6","2","9","2","8","2","3","2","4"
"Pueblo Libre","5","10","6","6","6","5","6","8","6","5"
"San Luis","3","4","3","8","3","9","3","2","3","8"
"San Luis","8","3","8","7","8","5","8","8","8","5"
"Independencia","3","7","3","4","3","3","3","6","3","2"
"Ate","10","3","10","5","10","6","10","6","10","8"
"Independencia","3","4","3","5","3","2","3","4","3","8"
"Miraflores","3","6","3","6","4","10","3","3","4","4"
"Los Olivos","7","6","8","2","8","1","8","5","8","8"
"Los Olivos","4","9","4","7","4","9","4","2","4","8"
"Surco","5","4","5","7","5","1","5","3","5","4"
"San Miguel","5","5","5","6","6","7","5","7","6","6"
"La Molina","2","7","2","3","2","3","2","8","2","4"
"Surco","10","1","10","6","10","7","10","7","10","3"
"Ate","5","9","5","5","5","10","5","5","5","6"
"San Borja","10","9","10","1","10","1","10","9","10","6"
"Pueblo Libre","7","7","7","1","7","5","7","6","7","7"
"Breña","6","10","7","3","7","7","7","6","7","9"
"San Miguel","8","6","8","2","8","3","8","5","8","9"
"Breña","6","3","6","4","6","3","6","1","6","6"
"Santa Anita","3","2","3","3","3","9","3","1","3","2"
"San Borja","2","2","3","2","3","4","3","7","2","5"
"San Miguel","1","9","1","3","1","4","1","2","1","6"
"San Borja","7","6","8","7","8","6","8","8","8","8"
"Breña","3","8","3","1","3","8","3","9","3","8"
"Ate","7","8","7","8","7","8","7","2","7","9"
"San Isidro","10","9","10","9","10","8","10","7","10","4"
"San Luis","5","5","5","3","5","4","5","1","5","2"
"San Luis","8","4","8","9","8","10","8","10","8","5"
"Barranco","9","6","9","2","9","1","9","7","9","4"
"Independencia","1","3","1","1","1","2","1","5","1","7"
"San Isidro","7","4","7","10","7","8","7","6","7","6"
"Breña","3","6","3","6","3","8","3","6","3","3"
"Santa Anita","7","6","8","6","8","3","8","3","8","5"
"Ate","3","6","3","3","3","10","3","2","3","6"
"Ate","3","7","3","1","3","2","3","8","3","7"
"Miraflores","3","6","3","3","3","4","3","10","3","4"
"San Borja","1","5","1","6","1","8","1","6","1","8"
"Barranco","8","9","8","3","8","7","8","6","8","5"
"San Borja","7","4","7","8","7","7","7","6","7","9"
"San Isidro","8","3","8","1","8","2","8","1","8","5"
"Miraflores","1","2","1","9","1","8","1","5","1","5"
"San Isidro","2","1","2","8","2","6","2","5","2","5"
"San Miguel","8","9","8","10","8","6","8","4","8","2"
"Los Olivos","2","9","2","6","2","1","2","7","2","10"
"San Luis","10","8","10","10","10","10","10","6","10","10"
"San Luis","2","3","3","3","3","10","2","3","2","2"
"Breña","10","10","10","7","10","10","10","10","10","4"
"Pueblo Libre","5","1","5","10","5","3","5","2","5","3"
"La Molina","6","8","6","1","7","10","6","3","6","2"
"San Miguel","8","3","8","4","8","9","8","9","8","1"
"Los Olivos","7","9","7","8","7","7","7","1","7","8"
"San Luis","9","9","9","10","9","3","9","6","9","5"
"San Borja","10","8","10","9","10","9","10","6","10","9"
"La Molina","3","4","3","10","4","3","3","6","4","7"
"Pueblo Libre","1","8","2","4","2","4","2","2","2","9"
"San Miguel","8","10","8","10","8","6","8","3","8","6"
"Santa Anita","8","2","8","6","8","4","8","5","8","2"
"San Isidro","1","2","1","8","1","5","1","4","1","1"
"Miraflores","9","6","9","4","9","7","9","6","9","9"
"San Miguel","8","4","8","6","8","9","8","7","8","3"
"San Luis","2","10","2","6","2","10","2","5","2","1"
"Miraflores","2","3","2","8","2","5","2","5","2","5"
"San Luis","2","2","2","6","2","7","2","7","2","10"
"San Miguel","9","7","9","3","9","4","9","5","9","4"
"Miraflores","1","8","1","1","1","3","1","3","1","5"
"Miraflores","5","8","6","10","6","2","6","8","6","6"
"Los Olivos","1","1","1","7","1","9","1","9","1","7"
"Surco","9","3","9","1","9","10","9","5","9","7"
"Los Olivos","8","7","8","10","8","6","8","6","8","10"
"San Miguel","2","1","2","6","2","8","2","4","2","1"
"Santa Anita","1","7","1","4","1","1","1","9","1","6"
